Continent,Year,"GDP per capita, PPP (constant 2021 international $)",Gini coefficient,Political regime,Trade (% of GDP),Primary energy consumption per capita (kWh/person),Combined GDP-Gini,Gini-GDP Flag
Africa,1995,7078.340933333333,0.36495832666666667,1.0,72.45882999999999,6477.688666666666,4525.671789561441,0.0
Africa,1996,1926.3977,0.4627667375,1.0,48.837969,1390.270195,1054.8940686345745,0.0
Africa,2001,3056.4813999999997,0.44629215999999994,1.6,58.9384986,1584.886796,1670.5486884008837,0.0
Africa,2002,3785.93046,0.4624666366666667,1.3333333333333333,57.340618,2686.8740583333333,1686.8569247064197,0.0
Africa,2003,3076.78185,0.45405260333333336,1.6666666666666667,58.310896500000005,1830.4546233333333,1490.945613792793,0.0
Africa,2004,5281.7484,0.45551166249999997,1.0,59.90220975,3771.098825,3169.7695429070427,0.0
Africa,2005,6226.303672727273,0.45425857545454545,1.6363636363636365,66.31125518181818,4997.031687272727,3320.6524868339447,0.0
Africa,2008,7477.042383333333,0.45696561499999994,1.0,75.4265015,7871.652855,4072.893279512278,0.0
Africa,2010,6414.2655875,0.45645976125,1.25,55.398627375000004,6523.318125,3549.4569306693083,0.0
Africa,2012,7565.2764,0.377367245,1.5,72.70135166666667,5422.711945,4842.768967792823,0.0
Africa,2013,8011.428453999999,0.42844772200000003,0.8,141.5339166,9892.49314,4421.253809389447,0.0
Africa,2014,4711.017925,0.431744685,1.375,60.368161875,4862.69563125,2425.436745146106,0.0
Africa,2016,3511.655,0.4332513333333334,1.3333333333333333,49.52375566666666,1336.52449,1988.5897608446194,0.0
Africa,2018,5473.206515384615,0.3818955707692308,1.6153846153846154,67.63061376923078,4745.861704615385,3467.4449893979713,0.0
Africa,2019,5740.37694,0.414246,1.0,67.0717786,4072.6636920000005,3672.9607800620724,0.0
Asia,1995,6015.4661166666665,0.3665265383333334,1.5,88.24093883333335,10363.43792,3559.1612672020947,0.0
Asia,1996,6974.811642857143,0.35527397714285713,0.8571428571428571,56.509710142857145,11907.811614285714,4410.41039701338,0.0
Asia,2001,9726.020625,0.34533943375,1.25,66.888191125,14922.2300375,6177.048693074346,0.0
Asia,2002,8820.0452625,0.356357795625,1.25,81.155550125,13499.57655,5553.470091647748,0.0
Asia,2003,9503.32316,0.36614255133333334,1.2,85.1147296,14827.761262666667,5860.633534767855,0.0
Asia,2004,12258.634992857144,0.34855765,1.6428571428571428,86.65046821428572,14767.110935714287,7913.935522003996,0.0
Asia,2005,13739.54833846154,0.3586747646153846,1.4615384615384615,72.72704730769232,17371.26613846154,8698.319848371626,0.0
Asia,2008,20271.080280000002,0.35781109466666666,1.5333333333333334,98.59741846666665,24213.9706,13034.035641098702,0.0
Asia,2010,17061.71301111111,0.3455216788888889,1.6111111111111112,75.97030672222223,19868.945633333336,11159.597622469613,0.0
Asia,2012,17254.90517777778,0.35579353333333336,1.6111111111111112,86.46681283333334,21592.83055,11137.880997778166,0.0
Asia,2013,24057.313833333334,0.3525746533333333,1.4,83.50291653333333,30693.185826666668,15550.224146923105,0.06666666666666667
Asia,2014,20546.027857142857,0.34801572571428574,1.5,86.5885147857143,24472.987185714283,13355.624083188331,0.07142857142857142
Asia,2016,19371.390544444446,0.34763295555555557,1.5,77.797573,20933.04723888889,12567.632434544392,0.05555555555555555
Asia,2018,23515.46902631579,0.34761251,1.368421052631579,89.3476702631579,28672.016657894736,15468.06948550267,0.10526315789473684
Asia,2019,23450.659153333334,0.3438427666666667,1.6,78.6502738,24349.88896,15383.984454584732,0.06666666666666667
Europe,1995,38798.543000000005,0.3115199864705882,2.823529411764706,74.86491605882352,48963.02,27200.31096898048,0.47058823529411764
