Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",Continent,Gini coefficient,Political regime,Trade (% of GDP),Primary energy consumption per capita (kWh/person),Gini level,Combined GDP-Gini,GDP PPP level,Gini-GDP Flag
Albania,ALB,1996,5499.0757,Europe,0.27010342,1.0,44.895443,7645.6396,Low,4013.756546591106,Low,False
Albania,ALB,2002,7565.8213,Europe,0.3173898,1.0,68.52507,9443.555,Medium,5164.50679075726,Low,False
Albania,ALB,2005,9006.646,Europe,0.30595654,2.0,70.872345,11545.616,Medium,6251.003752835161,Low,False
Albania,ALB,2008,11103.7705,Europe,0.2998467,2.0,77.45175,10499.328,Low,7774.34155801765,Medium,False
Albania,ALB,2012,12577.756,Europe,0.28960484,2.0,76.5102,10652.809,Low,8935.17698606096,Medium,False
Albania,ALB,2014,12979.765,Europe,0.34598896,2.0,75.407845,11809.461,Medium,8488.909606605599,Medium,False
Albania,ALB,2015,13306.443,Europe,0.32753733,2.0,71.80101,11824.314,Medium,8948.08618798281,Medium,False
Albania,ALB,2016,13769.547,Europe,0.33736297,2.0,74.80986,13823.748,Medium,9124.21172852541,Medium,False
Albania,ALB,2017,14306.299,Europe,0.33055663,2.0,78.19425,12802.36,Medium,9577.25701478763,Medium,False
Albania,ALB,2018,14918.081,Europe,0.30148283,2.0,75.69407,14609.701,Medium,10420.53572195077,Medium,False
Albania,ALB,2019,15290.777,Europe,0.30115768,2.0,75.382164,11585.555,Medium,10685.84207328264,Medium,False
Albania,ALB,2020,14869.22,Europe,0.2941963,2.0,59.5207,11158.003,Low,10494.750492114,Medium,False
Algeria,DZA,2011,14641.964,Africa,0.27615732,1.0,62.22009,12710.541,Low,10598.47846222352,Medium,False
Angola,AGO,2008,9916.909,Africa,0.42715514,0.0,121.36471,3072.024,High,5680.85034773774,Low,False
Angola,AGO,2018,8620.215,Africa,0.51263994,1.0,66.37801,3366.3933,High,4201.1484996129,Low,False
Armenia,ARM,1999,4406.9673,Asia,0.36219725,1.0,70.56048,8518.906,Medium,2810.775863100075,Low,False
Armenia,ARM,2001,5044.1167,Asia,0.3536436,1.0,69.864265,9219.866,Medium,3260.29711139188,Low,False
Armenia,ARM,2002,5731.3535,Asia,0.34779674,1.0,73.984505,8911.608,Medium,3738.0074369124095,Low,False
Armenia,ARM,2003,6569.2603,Asia,0.33028087,1.0,80.05137,9866.072,Medium,4399.55929285954,Low,False
Armenia,ARM,2004,7299.4,Asia,0.37505633,1.0,73.07063,10294.192,Medium,4561.713824797999,Low,False
Armenia,ARM,2005,8362.9,Asia,0.35992354,1.0,70.13974,11997.367,Medium,5352.895427334,Low,False
Armenia,ARM,2006,9525.231,Asia,0.29709986,1.0,61.030136,12061.231,Low,6695.28620343234,Low,False
Armenia,ARM,2007,10898.849,Asia,0.31226057,1.0,56.975048,13633.888,Medium,7495.568198916069,Medium,False
Armenia,ARM,2008,11727.482,Asia,0.2918814,1.0,54.542328,13250.285,Low,8304.448135365199,Medium,False
Armenia,ARM,2009,10143.235,Asia,0.2801588,1.0,57.274235,11915.396,Low,7301.518454282001,Medium,False
Armenia,ARM,2010,10438.564,Asia,0.29992583,1.0,64.642975,13351.512,Low,7307.769028291879,Medium,False
Armenia,ARM,2011,10990.177,Asia,0.29352945,1.0,69.43558,14139.787,Low,7764.236389787349,Medium,False
Armenia,ARM,2012,11796.274,Asia,0.29602262,1.0,75.96168,15057.879,Low,8304.31006428212,Medium,False
Armenia,ARM,2013,12194.019,Asia,0.30579662,1.0,77.555046,14838.981,Medium,8465.12920558422,Medium,False
Armenia,ARM,2014,12667.376,Asia,0.3148329,1.0,75.77887,15185.13,Medium,8679.269278529599,Medium,False
Armenia,ARM,2015,13112.76,Asia,0.32356772,1.0,71.682076,14124.947,Medium,8869.8941438928,Medium,False
Armenia,ARM,2016,13192.994,Asia,0.32547948,1.0,76.077965,14289.046,Medium,8898.94517323688,Medium,False
Armenia,ARM,2017,14243.875,Asia,0.3362184,1.0,87.20238,15302.439,Medium,9454.8221377,Medium,False
