Entity,Code,Year,Gini coefficient,990179-annotations,Continent
Albania,ALB,1996,0.27010342,,Europe
Albania,ALB,2002,0.3173898,,Europe
Albania,ALB,2005,0.30595654,,Europe
Albania,ALB,2008,0.2998467,,Europe
Albania,ALB,2012,0.28960484,,Europe
Albania,ALB,2014,0.34598896,,Europe
Albania,ALB,2015,0.32753733,,Europe
Albania,ALB,2016,0.33736297,,Europe
Albania,ALB,2017,0.33055663,,Europe
Albania,ALB,2018,0.30148283,,Europe
Albania,ALB,2019,0.30115768,,Europe
Albania,ALB,2020,0.2941963,,Europe
Algeria,DZA,1988,0.37356994,,Africa
Algeria,DZA,1995,0.35330054,,Africa
Algeria,DZA,2011,0.27615732,,Africa
Angola,AGO,2000,0.5194472,,Africa
Angola,AGO,2008,0.42715514,,Africa
Angola,AGO,2018,0.51263994,,Africa
Armenia,ARM,1999,0.36219725,,Asia
Armenia,ARM,2001,0.3536436,,Asia
Armenia,ARM,2002,0.34779674,,Asia
Armenia,ARM,2003,0.33028087,,Asia
Armenia,ARM,2004,0.37505633,,Asia
Armenia,ARM,2005,0.35992354,,Asia
Armenia,ARM,2006,0.29709986,,Asia
Armenia,ARM,2007,0.31226057,,Asia
Armenia,ARM,2008,0.2918814,,Asia
Armenia,ARM,2009,0.2801588,,Asia
Armenia,ARM,2010,0.29992583,,Asia
Armenia,ARM,2011,0.29352945,,Asia
Armenia,ARM,2012,0.29602262,,Asia
Armenia,ARM,2013,0.30579662,,Asia
Armenia,ARM,2014,0.3148329,,Asia
Armenia,ARM,2015,0.32356772,,Asia
Armenia,ARM,2016,0.32547948,,Asia
Armenia,ARM,2017,0.3362184,,Asia
Armenia,ARM,2018,0.344335,,Asia
Armenia,ARM,2019,0.30031213,,Asia
Armenia,ARM,2020,0.25131604,,Asia
Armenia,ARM,2021,0.2794013,,Asia
Armenia,ARM,2022,0.27945295,,Asia
Australia,AUS,1981,0.31324756,,Oceania
Australia,AUS,1985,0.3249643,,Oceania
Australia,AUS,1989,0.33151928,,Oceania
Australia,AUS,1995,0.3257863,,Oceania
Australia,AUS,2001,0.33462042,,Oceania
Australia,AUS,2003,0.3349686,,Oceania
Australia,AUS,2004,0.3305577,,Oceania
Australia,AUS,2008,0.3542851,,Oceania
Australia,AUS,2010,0.34656727,,Oceania
Australia,AUS,2014,0.34398198,,Oceania
Australia,AUS,2016,0.33685225,,Oceania
Australia,AUS,2018,0.34332561,,Oceania
Austria,AUT,1994,0.3082802,,Europe
Austria,AUT,1995,0.29914328,,Europe
Austria,AUT,1996,0.29317808,,Europe
Austria,AUT,1997,0.29065368,,Europe
Austria,AUT,1998,0.31340772,,Europe
Austria,AUT,1999,0.2967054,,Europe
Austria,AUT,2000,0.28964692,,Europe
Austria,AUT,2003,0.29465577,,Europe
Austria,AUT,2004,0.29788825,,Europe
Austria,AUT,2005,0.28715184,,Europe
Austria,AUT,2006,0.29587558,,Europe
Austria,AUT,2007,0.30579385,,Europe
Austria,AUT,2008,0.30437064,,Europe
Austria,AUT,2009,0.31494802,,Europe
Austria,AUT,2010,0.3025161,,Europe
Austria,AUT,2011,0.30801,,Europe
Austria,AUT,2012,0.30475533,,Europe
Austria,AUT,2013,0.30752888,,Europe
Austria,AUT,2014,0.3053535,,Europe
Austria,AUT,2015,0.30530685,,Europe
Austria,AUT,2016,0.3079501,,Europe
Austria,AUT,2017,0.2973688,,Europe
Austria,AUT,2018,0.30847305,,Europe
Austria,AUT,2019,0.3021043,,Europe
Austria,AUT,2020,0.29800606,,Europe
Austria,AUT,2021,0.30701602,,Europe
Azerbaijan,AZE,1995,0.3464838,,Asia
Azerbaijan,AZE,2001,0.36454937,,Asia
Azerbaijan,AZE,2002,0.25277665,,Asia
Azerbaijan,AZE,2003,0.2683288,,Asia
Azerbaijan,AZE,2004,0.26621592,,Asia
Azerbaijan,AZE,2005,0.26554906,,Asia
Bangladesh,BGD,1983,0.2587649,,Asia
Bangladesh,BGD,1985,0.26917496,,Asia
Bangladesh,BGD,1988,0.28846547,,Asia
Bangladesh,BGD,1991,0.27570805,,Asia
Bangladesh,BGD,1995,0.32942984,,Asia
Bangladesh,BGD,2000,0.33406532,,Asia
Bangladesh,BGD,2005,0.33201292,,Asia
Bangladesh,BGD,2010,0.32130313,,Asia
Bangladesh,BGD,2016,0.32385272,,Asia
Bangladesh,BGD,2022,0.33373156,,Asia
Belarus,BLR,1998,0.3201835,,Europe
Belarus,BLR,1999,0.31738147,,Europe
Belarus,BLR,2000,0.31167483,,Europe
Belarus,BLR,2001,0.30576724,,Europe
Belarus,BLR,2002,0.30336243,,Europe
Belarus,BLR,2003,0.28821012,,Europe
Belarus,BLR,2004,0.26479885,,Europe
Belarus,BLR,2005,0.2755341,,Europe
Belarus,BLR,2006,0.28275442,,Europe
Belarus,BLR,2007,0.2961238,,Europe
Belarus,BLR,2008,0.27826044,,Europe
Belarus,BLR,2009,0.27689305,,Europe
Belarus,BLR,2010,0.285666,,Europe
Belarus,BLR,2011,0.2715255,,Europe
Belarus,BLR,2012,0.26526198,,Europe
Belarus,BLR,2013,0.26575053,,Europe
Belarus,BLR,2014,0.27176666,,Europe
Belarus,BLR,2015,0.25633225,,Europe
Belarus,BLR,2016,0.25306615,,Europe
Belarus,BLR,2017,0.2544457,,Europe
Belarus,BLR,2018,0.25240526,,Europe
Belarus,BLR,2019,0.25277847,,Europe
Belarus,BLR,2020,0.24383356,,Europe
Belgium,BEL,1985,0.2520385,,Europe
Belgium,BEL,1988,0.25711522,,Europe
Belgium,BEL,1992,0.2494629,,Europe
Belgium,BEL,1995,0.28410766,,Europe
Belgium,BEL,1997,0.2683214,,Europe
Belgium,BEL,2000,0.33135915,,Europe
Belgium,BEL,2003,0.28143317,,Europe
Belgium,BEL,2004,0.30541426,,Europe
Belgium,BEL,2005,0.29336902,,Europe
Belgium,BEL,2006,0.28054035,,Europe
Belgium,BEL,2007,0.29237667,,Europe
Belgium,BEL,2008,0.28373718,,Europe
Belgium,BEL,2009,0.28551185,,Europe
Belgium,BEL,2010,0.28374815,,Europe
Belgium,BEL,2011,0.2806043,,Europe
Belgium,BEL,2012,0.27490476,,Europe
Belgium,BEL,2013,0.27668843,,Europe
Belgium,BEL,2014,0.28134006,,Europe
Belgium,BEL,2015,0.27729303,,Europe
Belgium,BEL,2016,0.2758073,,Europe
Belgium,BEL,2017,0.27387637,,Europe
Belgium,BEL,2018,0.2721419,,Europe
Belgium,BEL,2019,0.27219546,,Europe
Belgium,BEL,2020,0.2595828,,Europe
Belgium,BEL,2021,0.2657763,,Europe
Belize,BLZ,1993,0.6022769,,North America
Belize,BLZ,1994,0.60867983,,North America
Belize,BLZ,1996,0.5654803,,North America
Belize,BLZ,1997,0.6035009,,North America
Belize,BLZ,1998,0.54866445,,North America
Belize,BLZ,1999,0.5323102,,North America
Benin,BEN,2003,0.3857762,,Africa
Benin,BEN,2011,0.43439555,,Africa
Benin,BEN,2015,0.4762964,,Africa
Benin,BEN,2018,0.37948644,,Africa
Benin,BEN,2021,0.34395808,,Africa
Bhutan,BTN,2003,0.40898,,Asia
Bhutan,BTN,2007,0.3809077,,Asia
Bhutan,BTN,2012,0.38809326,,Asia
Bhutan,BTN,2017,0.3744141,,Asia
Bhutan,BTN,2022,0.2845992,,Asia
Bolivia,BOL,1997,0.5814129,,South America
Bolivia,BOL,1999,0.5803485,,South America
Bolivia,BOL,2000,0.61563873,,South America
Bolivia,BOL,2001,0.57366186,,South America
Bolivia,BOL,2002,0.59274095,,South America
Bolivia,BOL,2004,0.5500019,,South America
Bolivia,BOL,2005,0.58518255,,South America
Bolivia,BOL,2006,0.56660104,,South America
Bolivia,BOL,2007,0.5453242,,South America
Bolivia,BOL,2008,0.50814897,,South America
Bolivia,BOL,2009,0.4922026,,South America
Bolivia,BOL,2011,0.46080348,,South America
Bolivia,BOL,2012,0.46579948,,South America
Bolivia,BOL,2013,0.47588572,,South America
Bolivia,BOL,2014,0.47829148,,South America
Bolivia,BOL,2015,0.46731615,,South America
Bolivia,BOL,2016,0.45240772,,South America
Bolivia,BOL,2017,0.4461778,,South America
Bolivia,BOL,2018,0.4257908,,South America
Bolivia,BOL,2019,0.416443,,South America
Bolivia,BOL,2020,0.4364544,,South America
Bolivia,BOL,2021,0.40913323,,South America
Bosnia and Herzegovina,BIH,2001,0.2996643,,Europe
Bosnia and Herzegovina,BIH,2004,0.3403749,,Europe
Bosnia and Herzegovina,BIH,2007,0.33061588,,Europe
Bosnia and Herzegovina,BIH,2011,0.33030185,,Europe
Botswana,BWA,1985,0.5421201,,Africa
Botswana,BWA,1993,0.6014759,,Africa
Botswana,BWA,2002,0.6472722,,Africa
Botswana,BWA,2009,0.604583,,Africa
Botswana,BWA,2015,0.5332503,,Africa
Brazil,BRA,1981,0.5786262,,South America
Brazil,BRA,1982,0.5835481,,South America
Brazil,BRA,1983,0.58902174,,South America
Brazil,BRA,1984,0.58297414,,South America
Brazil,BRA,1985,0.5552505,,South America
Brazil,BRA,1986,0.5843224,,South America
Brazil,BRA,1987,0.59642065,,South America
Brazil,BRA,1988,0.61370975,,South America
Brazil,BRA,1989,0.6324467,,South America
